libelle,longueur,position,fin,type,nom,champ,table,an,Typer,cla,z,rg,curseur
N° anonyme individuel,17,61,77,c,NOANONIND,had,rpss_ano,20,,,,,
N° FINESS e-PMSI,9,78,86,c,NOFINESS,had,rpss_ano,20,,,,,
Code retour contrôle code grand régime,1,87,87,c,CRCODEGR,had,rpss_ano,20,,,,,
Code retour contrôle Code gestion,1,88,88,c,CRCDGESTION,had,rpss_ano,20,,,,,
Code retour contrôle code justification d'exonération du ticket modérateur,1,89,89,c,CREXTICM,had,rpss_ano,20,,,,,
Code retour contrôle code de prise en charge du forfait journalier,1,90,90,c,CRPRFOJO,had,rpss_ano,20,,,,,
Code retour contrôle nature d'assurance,1,91,91,c,CRNATASS,had,rpss_ano,20,,,,,
Code retour contrôle type de contrat souscrit auprès d'un organismecomplémentaire,1,92,92,c,CRTYPECONT,had,rpss_ano,20,,,,,
Code retour contrôle séjour facturable à l'assurance maladie,1,93,93,c,CRFACTAM,had,rpss_ano,20,,,,,
Code retour contrôle motif de la non facturation à l'assurance maladie,1,94,94,c,CRNFACAM,had,rpss_ano,20,,,,,
Code retour contrôle facturation du 18 euro,1,95,95,c,CRTOP18,had,rpss_ano,20,,,,,
Code retour contrôle nombre de venues de la facture,1,96,96,c,CRNBEVEN,had,rpss_ano,20,,,,,
Code retour contrôle montant à facturer au titre du ticket modérateur,1,97,97,c,CRTICMOD,had,rpss_ano,20,,,,,
Code retour contrôle montant à facturer au titre du forfait journalier,1,98,98,c,CRFORJOU,had,rpss_ano,20,,,,,
Code retour contrôle montant total du séjour remboursé par l'assurance maladie (i.e. hors prestations annexes ),1,99,99,c,CRMTFACTOT,had,rpss_ano,20,,,,,
Code retour contrôle montant lié à la majoration au parcours de soin,1,100,100,c,CRMAJPAR,had,rpss_ano,20,,,,,
Code retour contrôle montant base remboursement,1,101,101,c,CRMTBASERM,had,rpss_ano,20,,,,,
Code retour contrôle taux de remboursement,1,102,102,c,CRTXRM,had,rpss_ano,20,,,,,
Code retour contrôle Patient bénéficiaire de la CMU,1,103,103,c,CRPBCMU,had,rpss_ano,20,,,,,
Code retour contrôle N° administratif de séjour de la mère,1,104,104,c,CRNOANOMER,had,rpss_ano,20,,,,,
Code retour contrôle Hospitalisation d'un nouveau-né auprès de la mère,1,105,105,c,CRHOSPNE,had,rpss_ano,20,,,,,
Code retour contrôle Hospitalisation pour prélèvement d'organe,1,106,106,c,CRHOSPPO,had,rpss_ano,20,,,,,
Code retour contrôle Date de l'hospitalisation,1,107,107,c,CRDTHOSP,had,rpss_ano,20,,,,,
Code retour contrôle Montant total du séjour remboursable pour l'AMC,1,108,108,c,CRMTAMC,had,rpss_ano,20,,,,,
Code retour contrôle Code participation assuré,1,109,109,c,CRPARTASS,had,rpss_ano,20,,,,,
Code retour contrôle N° d’entrée,1,110,110,c,CRNUMENT,had,rpss_ano,20,,,,,
Code retour contrôle Rang de naissance,1,111,111,c,CRRGNAISS,had,rpss_ano,20,,,,,
Code retour contrôle Rang du bénéficiaire,1,112,112,c,CRRGBEN,had,rpss_ano,20,,,,,
Code retour contrôle N° caisse gestionnaire,1,113,113,c,CRCAISSGEST,had,rpss_ano,20,,,,,
Code retour contrôle N° centre gestionnaire,1,114,114,c,CRCENTRGEST,had,rpss_ano,20,,,,,
Code retour contrôle  Confirmation de la prise en charge dans le cadre du dispositif des soins urgents,1,115,115,c,CRPECSU,had,rpss_ano,20,,,,,
Code retour contrôle Numéro accident du travail ou date d’accident de droit commun,1,116,116,c,CRAT,had,rpss_ano,20,,,,,
Code retour contrôle N° d’organisme complémentaire,1,117,117,c,CRCOMP,had,rpss_ano,20,,,,,
Code retour contrôle N° FINESS d’inscription e-PMSI,1,118,118,c,CRNOFINESS,had,rpss_ano,20,,,,,
Code retour contrôle N° immatriculation individuel,1,119,119,c,CRNOANONIND,had,rpss_ano,20,,,,,
Code retour contrôle Nature de la pièce justificative des droits,1,120,120,c,CRNATJUSTDROITS,had,rpss_ano,20,,,,,
Code retour contrôle Prise en charge établie le,1,121,121,c,CRPECDATE,had,rpss_ano,20,,,,,
"Code retour contrôle Attestation de droits, carte Vitale ou prise en charge valable à compter du.",1,122,122,c,CRVITALE,had,rpss_ano,20,,,,,
Code retour contrôle Délivrée par,1,123,123,c,CRDELIVREE,had,rpss_ano,20,,,,,
Code retour contrôle Régime de prestation de l’assuré,1,124,124,c,CRREGPRESTASS,had,rpss_ano,20,,,,,
Code retour contrôle Top éclatement des flux par l’établissement,1,125,125,c,CRTOPECLATFLUX,had,rpss_ano,20,,,,,
Code retour contrôle Date d’entrée,1,126,126,c,CRDTENT,had,rpss_ano,20,,,,,
Code retour contrôle Date de sortie,1,127,127,c,CRDTSORT,had,rpss_ano,20,,,,,
Code retour contrôle Montant total du séjour facturé au patient,1,128,128,c,CRMTTFACPAT,had,rpss_ano,20,,,,,
Code retour contrôle Rejet AMO,1,129,129,c,CRREJETAMO,had,rpss_ano,20,,,,,
Code retour contrôle Date de facturation AMO,1,130,130,c,CRDATFACTAMO,had,rpss_ano,20,,,,,
Code retour contrôle Date de facturation AMC,1,131,131,c,CRDATFACTAMC,had,rpss_ano,20,,,,,
Code retour contrôle Date de facturation patient,1,132,132,c,CRDATFACTPAT,had,rpss_ano,20,,,,,
Code retour contrôle Date de paiement AMO,1,133,133,c,CRDATPAIAMO,had,rpss_ano,20,,,,,
Code retour contrôle Date de paiement AMC,1,134,134,c,CRDATPAIAMC,had,rpss_ano,20,,,,,
Code retour contrôle Date de paiement patient,1,135,135,c,CRDATPAIPAT,had,rpss_ano,20,,,,,
Code retour contrôle Statut FT AMO,1,136,136,c,CRSTATFTAMO,had,rpss_ano,20,,,,,
Code retour contrôle Statut FT AMC,1,137,137,c,CRSTATFTAMC,had,rpss_ano,20,,,,,
Code retour contrôle Statut FT patient,1,138,138,c,CRSTATFTPAT,had,rpss_ano,20,,,,,
Code retour contrôle Pays d’assurance social,1,139,139,c,CRPAYSPAT,had,rpss_ano,20,,,,,
"Code retour contrôle "" Numéro d’identification permanent du patient (IPP) """,1,140,141,c,CRIPP,had,rpss_ano,20,,,,,
Code grand régime,2,141,142,c,CODEGR,had,rpss_ano,20,,,,,
Code gestion,2,143,144,c,CDGESTION,had,rpss_ano,20,,,,,
Code justification d'exonération du ticket modérateur,1,145,145,c,CDEXTICM,had,rpss_ano,20,,,,,
Code de prise en charge du forfait journalier,1,146,146,c,CDPRFOJO,had,rpss_ano,20,,,,,
Nature d'assurance,2,147,148,c,NATASS,had,rpss_ano,20,,,,,
Type de contrat souscrit auprès d'un organisme complémentaire,2,149,150,c,TYPECONT,had,rpss_ano,20,,,,,
Séjour facturable à l'assurance maladie,1,151,151,c,FACTAM,had,rpss_ano,20,,,,,
Motif de la non facturation à l'assurance maladie,1,152,152,c,MOTNFAC,had,rpss_ano,20,,,,,
Facturation du 18 euro,1,153,153,c,FAC18,had,rpss_ano,20,,,,,
Nombre de venues de la facture,4,154,157,i,NBEVEN,had,rpss_ano,20,,,,,
Montant à facturer au titre du ticket modérateur,10,158,167,n,MTFACTMO,had,rpss_ano,20,,,,,
Montant à facturer au titre du forfait journalier,10,168,177,n,MTFORJOU,had,rpss_ano,20,,,,,
Montant total du séjour remboursé par l'assurance maladie (i.e. hors prestations annexes),10,178,187,n,MTFACTOT,had,rpss_ano,20,,,,,
Montant lié à la majoration au parcours de soins,4,188,191,n,MTMAJPAR,had,rpss_ano,20,,,,,
Montant base remboursement,10,192,201,n,MTBASERM,had,rpss_ano,20,,,,,
Taux de remboursement,5,202,206,n,TAUXRM,had,rpss_ano,20,,,,,
Patient bénéficiaire de la CMU,1,207,207,c,PBCMU,had,rpss_ano,20,,,,,
N° administratif de séjour de la mère,20,208,227,c,NOANOMER,had,rpss_ano,20,,,,,
Hospitalisation d'un nouveau-né auprès de la mère,1,228,228,c,HOSPNE,had,rpss_ano,20,,,,,
Hospitalisation pour prélèvement d'organe,1,229,229,c,HOSPPO,had,rpss_ano,20,,,,,
Date de l'hospitalisation,8,230,237,c,DTHOSP,had,rpss_ano,20,,,,,
Montant total du séjour remboursable pour l'AMC,10,238,247,n,MTRMAMC,had,rpss_ano,20,,,,,
Date de naissance du bénéficiaire,8,248,255,c,DTNAISBEN,had,rpss_ano,20,,,,,
Sexe du bénéficiaire,1,256,256,c,SEXEBEN,had,rpss_ano,20,,,,,
Code participation assuré,1,257,257,c,PARTASS,had,rpss_ano,20,,,,,
N° d’entrée,9,258,266,c,NUMENT,had,rpss_ano,20,,,,,
Rang de naissance,1,267,267,c,RGNAISS,had,rpss_ano,20,,,,,
Rang du bénéficiaire,3,268,270,c,RGBEN,had,rpss_ano,20,,,,,
N° caisse gestionnaire,3,271,273,c,CAISSGEST,had,rpss_ano,20,,,,,
N° centre gestionnaire,4,274,277,c,CENTRGEST,had,rpss_ano,20,,,,,
Confirmation de la prise en charge dans le cadre du dispositif des soins urgents,1,278,278,c,PECSU,had,rpss_ano,20,,,,,
Numéro accident du travail ou date d’accident de droit commun,9,279,287,c,NUMAT,had,rpss_ano,20,,,,,
N° d’organisme complémentaire,10,288,297,c,NUMCOMP,had,rpss_ano,20,,,,,
Nature de la pièce justificative des droits,1,298,298,c,NATJUSTDROITS,had,rpss_ano,20,,,,,
Prise en charge établie le,8,299,306,c,PECDATE,had,rpss_ano,20,,,,,
"Attestation de droits, carte Vitale ou prise en charge valable à compter du.",8,307,314,c,VITALE,had,rpss_ano,20,,,,,
Délivrée par,3,315,317,c,DELIVREE,had,rpss_ano,20,,,,,
Régime de prestation de l’assuré,3,318,320,c,REGPRESTASS,had,rpss_ano,20,,,,,
Top éclatement des flux par l’établissement,1,321,321,c,TOPECLATFLUX,had,rpss_ano,20,,,,,
Date d’entrée,8,322,329,c,DTENT,had,rpss_ano,20,,,,,
Date de sortie,8,330,337,c,DTSORT,had,rpss_ano,20,,,,,
Montant total du séjour facturé au patient,8,338,345,n,MTTFACPAT,had,rpss_ano,20,,,,,
Rejet AMO,1,346,346,c,REJETAMO,had,rpss_ano,20,,,,,
Date de facturation AMO,8,347,354,c,DATFACTAMO,had,rpss_ano,20,,,,,
Date de facturation AMC,8,355,362,c,DATFACTAMC,had,rpss_ano,20,,,,,
Date de facturation patient,8,363,370,c,DATFACTPAT,had,rpss_ano,20,,,,,
Date de paiement AMO,8,371,378,c,DATPAIAMO,had,rpss_ano,20,,,,,
Date de paiement AMC,8,379,386,c,DATPAIAMC,had,rpss_ano,20,,,,,
Date de paiement patient,8,387,394,c,DATPAIPAT,had,rpss_ano,20,,,,,
Statut FT AMO,1,395,395,c,STATFTAMO,had,rpss_ano,20,,,,,
Statut FT AMC,1,396,396,c,STATFTAMC,had,rpss_ano,20,,,,,
Statut FT patient,1,397,397,c,STATFTPAT,had,rpss_ano,20,,,,,
Pays d’assurance social,3,398,400,c,PAYSPAT,had,rpss_ano,20,,,,,
Numéro d’identification permanent du patient (IPP),20,401,420,c,IPP,had,rpss_ano,20,,,,,
Filler,50,421,470,c,Filler,had,rpss_ano,20,,,,,
Empreinte numérique,32,471,502,c,EMPNUM,had,rpss_ano,20,,,,,
Zone chiffrée,781,503,1283,c,ZONECHIFFREE,had,rpss_ano,20,,,,,
N° Finess de l'établissement,9,1,,c,NOFINESS,had,rapss,21,,,,,
N° de version du RAPSS,3,10,,c,NOVRAPSS,had,rapss,21,,,,,
N° Finess géographique,9,13,,c,NOFINESS_GEO,had,rapss,21,,,,,
N° séjour HAD,5,22,,c,NOSEQSEJ,had,rapss,21,,,,,
Âge en années,3,27,,i,AGEAN,had,rapss,21,,,,,
Âge en jours,3,30,,i,AGEJR,had,rapss,21,,,,,
Sexe,1,33,,c,SEXE,had,rapss,21,,,,,
Code géographique,5,34,,c,CDGEO,had,rapss,21,,,,,
Type de domicile,1,39,,c,TYPDOM,had,rapss,21,,,,,
N° Finess ESMS,9,40,,c,NOFINESS_ESMS,had,rapss,21,,,,,
Durée de séjour,4,49,,i,DUREESEJ,had,rapss,21,,,,,
Mode d'entrée,1,53,,c,MODE_ENTREE,had,rapss,21,,,,,
Provenance,1,54,,c,PROVENANCE,had,rapss,21,,,,,
Mode de sortie,1,55,,c,MODE_SORTIE,had,rapss,21,,,,,
Destination,1,56,,c,DESTINATION,had,rapss,21,,,,,
Mois de sortie du séjour,2,57,,c,MOISSOR_SEJ,had,rapss,21,,,,,
Année de sortie du séjour,4,59,,c,ANSOR_SEJ,had,rapss,21,,,,,
N° de séquence,4,63,,c,NOSEQ,had,rapss,21,,,,,
Nombre de jours depuis le début de la séquence,4,67,,i,NB_JR_DB_SEQ,had,rapss,21,,,,,
Durée de la séquence,4,71,,i,DUREE_SEQ,had,rapss,21,,,,,
Flag Dernière séquence,1,75,,c,DERNIERE_SEQ,had,rapss,21,,,,,
Mois de fin de la séquence,2,76,,c,MOIS_FIN_SEQ,had,rapss,21,,,,,
Année de fin de la séquence,4,78,,c,AN_FIN_SEQ,had,rapss,21,,,,,
Mode de prise en charge principal,2,82,,c,MPP,had,rapss,21,,,,,
Mode de prise en charge associé,2,84,,c,MPA,had,rapss,21,,,,,
Mode de prise en charge associé documentaire 1,2,86,,c,MPCAD1,had,rapss,21,,,,,
Mode de prise en charge associé documentaire 2,2,88,,c,MPCAD2,had,rapss,21,,,,,
Mode de prise en charge associé documentaire 3,2,90,,c,MPCAD3,had,rapss,21,,,,,
Mode de prise en charge associé documentaire 4,2,92,,c,MPCAD4,had,rapss,21,,,,,
Mode de prise en charge associé documentaire 5,2,94,,c,MPCAD5,had,rapss,21,,,,,
Indice de Karnofsky,3,96,,c,IK,had,rapss,21,,,,,
,3,99,,c,FILLER,had,rapss,21,,,,,
Nature du séjour,2,102,,c,NATSEJ,had,rapss,21,,,,,
Confirmation de codage du RPSS,1,104,,c,CF_CODAGE,had,rapss,21,,,,,
Nombre de diagnostics du MPP,1,105,,i,NBDIAGMPP,had,rapss,21,,,,,
Nombre de diagnostics du MPA,1,106,,i,NBDIAGMPA,had,rapss,21,,,,,
Nombre de diagnostics associés,2,107,,i,NBDA,had,rapss,21,,,,,
Dépendance Habillage,1,109,,c,HABILLAGE,had,rapss,21,,,,,
Dépendance Locomotion,1,110,,c,LOCOMOT,had,rapss,21,,,,,
Dépendance Alimentation,1,111,,c,ALIMENT,had,rapss,21,,,,,
Dépendance Continence,1,112,,c,CONTINENCE,had,rapss,21,,,,,
Dépendance Comportement,1,113,,c,COMPORTEMENT,had,rapss,21,,,,,
Dépendance Relation,1,114,,c,RELATION,had,rapss,21,,,,,
N° de sous-séquence,4,115,,c,NOSOUSSEQ,had,rapss,21,,,,,
Mois de fin de la sous-séquence,2,119,,c,MOIS_FIN_SS_SEQ,had,rapss,21,,,,,
Année de fin de la sous-séquence,4,121,,c,AN_FIN_SS_SEQ,had,rapss,21,,,,,
Nombre de journées depuis le début de la sous-séquence,4,125,,i,NB_JR_DB_SS_SEQ,had,rapss,21,,,,,
Durée de la sous-séquence,4,129,,i,DUREE_SS_SEQ,had,rapss,21,,,,,
Flag Dernière sous-séquence de la séquence,1,133,,c,DER_SS_SEQ,had,rapss,21,,,,,
Flag dernière sous-séquence du séjour,1,134,,c,DER_SS_SEQ_SEJ,had,rapss,21,,,,,
Nombre d'actes du séjour,3,135,,i,NBZA,had,rapss,21,,,,,
Diagnostic principal,6,138,,c,DP,had,rapss,21,,,,,
,,144,,c,Z,had,rapss,21,,,,,
N° FINESS e-PMSI,9,1,9,c,NOFINESS,had,rapss_ano,21,,,,,
N° FINESS de l'établissement (code géographique),9,10,18,c,NOFINESS_GEO,had,rapss_ano,21,,,,,
N° format,3,19,21,c,NOFORMAT,had,rapss_ano,21,,,,,
N° format VID-HOSP,3,22,24,c,NOFORMHOSP,had,rapss_ano,21,,,,,
Mois d'entrée,2,25,26,c,MOISSOR,had,rapss_ano,21,,,,,
Année d'entrée,4,27,30,c,ANSOR,had,rapss_ano,21,,,,,
Code retour contrôle « n° immatriculation assuré  »,1,31,31,c,CRSECU,had,rapss_ano,21,,,,,
Code retour contrôle « date de  naissance »,1,32,32,c,CRDNAI,had,rapss_ano,21,,,,,
Code retour contrôle « sexe »,1,33,33,c,CRSEXE,had,rapss_ano,21,,,,,
Code retour contrôle « n° d’identification administratif de séjour »,1,34,34,c,CRNODA,had,rapss_ano,21,,,,,
Code retour « fusion ANO-HOSP et HOSP-PMSI »,1,35,35,c,CRFUSHOSP,had,rapss_ano,21,,,,,
Code retour « fusion ANO-PMSI et fichier PMSI »,1,36,36,c,CRFUSPMSI,had,rapss_ano,21,,,,,
Code retour contrôle « date de référence» (date d’entrée),1,37,37,c,CRDTENT,had,rapss_ano,21,,,,,
Code retour contrôle « Cohérence date naissance »,1,38,38,c,CRCDNAI,had,rapss_ano,21,,,,,
Code retour contrôle « Cohérence sexe »,1,39,39,c,CRCSEXE,had,rapss_ano,21,,,,,
N° anonyme,17,40,56,c,NOANON,had,rapss_ano,21,,,,,
N° anonyme individuel,17,57,73,c,NOANONIND,had,rapss_ano,21,,,,,
N° de séjour,5,74,78,i,NOSEJ,had,rapss_ano,21,,,,,
N° séquentiel de séjour HAD/Numéro séquentiel d'entrée,5,79,83,c,NOSEQSEJ,had,rapss_ano,21,,,,,
Date d'entrée du séjour PMSI,8,84,91,c,DTENT,had,rapss_ano,21,,,,,
Date de sortie du séjou PMSI,8,92,99,c,DTSOR,had,rapss_ano,21,,,,,
Code retour contrôle « code grand régime »,1,100,100,c,CRCODEGR,had,rapss_ano,21,,,,,
Code retour contrôle « code gestion »,1,101,101,c,CRCDGESTION,had,rapss_ano,21,,,,,
Code retour contrôle « code justification d’exonération du ticket modérateur » ,1,102,102,c,CREXTICM,had,rapss_ano,21,,,,,
Code retour contrôle « code de prise en charge du forfait journalier »,1,103,103,c,CRPRFOJO,had,rapss_ano,21,,,,,
Code retour contrôle « nature d’assurance »,1,104,104,c,CRNATASS,had,rapss_ano,21,,,,,
Code retour contrôle « type de contrat souscrit auprès d'un organisme complémentaire »,1,105,105,c,CRTYPECO,had,rapss_ano,21,,,,,
Code retour contrôle « séjour facturable à l’assurance maladie »,1,106,106,c,CRFACTAM,had,rapss_ano,21,,,,,
Code retour contrôle « motif de la non facturation à l'assurance maladie »,1,107,107,c,CRMOTNOFACT,had,rapss_ano,21,,,,,
Code retour contrôle « facturation du 18 euro »,1,108,108,c,CRTOP18,had,rapss_ano,21,,,,,
Code retour contrôle « nombre de venues de la facture »,1,109,109,c,CRNBEVEN,had,rapss_ano,21,,,,,
Code retour contrôle « montant à facturer au titre du ticket modérateur»,1,110,110,c,CRTICMOD,had,rapss_ano,21,,,,,
Code retour contrôle « montant à facturer au titre du forfait journalier »,1,111,111,c,CRFORJOU,had,rapss_ano,21,,,,,
Code retour contrôle « montant total du séjour remboursé par l’assurance maladie (i.e. hors prestations annexes »),1,112,112,c,CRFACTOT,had,rapss_ano,21,,,,,
Code retour contrôle « montant lié à la majoration au parcours de soin »,1,113,113,c,CRMAJPAR,had,rapss_ano,21,,,,,
Code retour contrôle « montant base remboursement »,1,114,114,c,CRMTBASE,had,rapss_ano,21,,,,,
Code retour contrôle « taux de remboursement »,1,115,115,c,CRTXRM,had,rapss_ano,21,,,,,
Code retour contrôle « Patient bénéficiaire de la CMU »,1,116,116,c,CRPBCMU,had,rapss_ano,21,,,,,
Filler,3,117,119,c,Filler,had,rapss_ano,21,,,,,
Code retour contrôle « Identifiant anonyme d'hospitalisation »,1,120,120,c,CRDTHOSP,had,rapss_ano,21,,,,,
Code retour contrôle « Montant total du séjour remboursable pour l'AMC »,1,121,121,c,CRRMBAMC,had,rapss_ano,21,,,,,
Code retour contrôle « Code participation assuré »,1,122,122,c,CRPARTASS,had,rapss_ano,21,,,,,
Code retour contrôle « N° d’entrée »,1,123,123,c,CRNUMENT,had,rapss_ano,21,,,,,
Code retour contrôle « Rang de naissance »,1,124,124,c,CRRGNAISS,had,rapss_ano,21,,,,,
Code retour contrôle « Rang du bénéficiaire »,1,125,125,c,CRRGBEN,had,rapss_ano,21,,,,,
Code retour contrôle « N° caisse gestionnaire »,1,126,126,c,CRCAISSGEST,had,rapss_ano,21,,,,,
Code retour contrôle « N° centre gestionnaire »,1,127,127,c,CRCENTRGEST,had,rapss_ano,21,,,,,
"Code retour contrôle ""Confirmation de la prise en charge dans le cadre du dispositif des soins urgents""",1,128,128,c,CRPECSU,had,rapss_ano,21,,,,,
"Code retour contrôle "" Numéro accident du travail ou date d’accident de droit commun""",1,129,129,c,CRAT,had,rapss_ano,21,,,,,
"Code retour contrôle "" N° d’organisme complémentaire""",1,130,130,c,CRCOMP,had,rapss_ano,21,,,,,
"Code retour contrôle ""N° FINESS d’inscription e-PMSI""",1,131,131,c,CRCFINESSPMSI,had,rapss_ano,21,,,,,
"Code retour contrôle ""N° immatriculation individuel""",1,132,132,c,CRCIMMATIND,had,rapss_ano,21,,,,,
"Code retour contrôle ""Nature de la pièce justificative des droits""",1,133,133,c,CRCNATJUSTDROITS,had,rapss_ano,21,,,,,
"Code retour contrôle ""Prise en charge établie le""",1,134,134,c,CRCDATEPEC,had,rapss_ano,21,,,,,
"Code retour contrôle ""Attestation de droits, carte Vitale ou prise en charge valable à compter du.""",1,135,135,c,CRCDATEATTEST,had,rapss_ano,21,,,,,
"Code retour contrôle ""Délivrée par""",1,136,136,c,CRCDELIVR,had,rapss_ano,21,,,,,
"Code retour contrôle ""Régime de prestation de l’assuré""",1,137,137,c,CRCREGPRESTASS,had,rapss_ano,21,,,,,
"Code retour contrôle ""Top éclatement des flux par l’établissement""",1,138,138,c,CRCECLATFLUX,had,rapss_ano,21,,,,,
"Code retour contrôle ""Date d’entrée""",1,139,139,c,CRCDTENT,had,rapss_ano,21,,,,,
"Code retour contrôle ""Date de sortie""",1,140,140,c,CRCDTSORT,had,rapss_ano,21,,,,,
"Code retour contrôle "" Montant total du séjour facturé au patient """,1,141,141,c,CRMTTFACPAT,had,rapss_ano,21,,,,,
"Code retour contrôle "" Rejet AMO """,1,142,142,c,CRREJETAMO,had,rapss_ano,21,,,,,
"Code retour contrôle "" Date de facturation AMO """,1,143,143,c,CRDATFACTAMO,had,rapss_ano,21,,,,,
"Code retour contrôle "" Date de facturation AMC """,1,144,144,c,CRDATFACTAMC,had,rapss_ano,21,,,,,
"Code retour contrôle "" Date de facturation patient """,1,145,145,c,CRDATFACTPAT,had,rapss_ano,21,,,,,
"Code retour contrôle "" Date de paiement AMO """,1,146,146,c,CRDATPAIAMO,had,rapss_ano,21,,,,,
"Code retour contrôle "" Date de paiement AMC """,1,147,147,c,CRDATPAIAMC,had,rapss_ano,21,,,,,
"Code retour contrôle "" Date de paiement patient """,1,148,148,c,CRDATPAIPAT,had,rapss_ano,21,,,,,
"Code retour contrôle "" Statut FT AMO """,1,149,149,c,CRSTATFTAMO,had,rapss_ano,21,,,,,
"Code retour contrôle "" Statut FT AMC """,1,150,150,c,CRSTATFTAMC,had,rapss_ano,21,,,,,
"Code retour contrôle "" Statut FT patient """,1,151,151,c,CRSTATFTPAT,had,rapss_ano,21,,,,,
"Code retour contrôle "" Pays d’assurance social """,1,152,152,c,CRPAYSPAT,had,rapss_ano,21,,,,,
"Code retour contrôle "" N°Identification permanent du patient """,1,153,153,c,CRIPP,had,rapss_ano,21,,,,,
Code grand régime,2,154,155,c,CODEGR,had,rapss_ano,21,,,,,
Code gestion,2,156,157,c,CDGESTION,had,rapss_ano,21,,,,,
Code justification d’exonération du ticket modérateur,1,158,158,c,CDEXTICM,had,rapss_ano,21,,,,,
Code de prise en charge du forfait journalier ,1,159,159,c,CDPRFOJO,had,rapss_ano,21,,,,,
Nature d'assurance,2,160,161,c,NATASS,had,rapss_ano,21,,,,,
Type de contrat souscrit auprès d'un organisme complémentaire,2,162,163,c,TYPECONT,had,rapss_ano,21,,,,,
Séjour facturable à l’assurance maladie,1,164,164,c,FACTAM,had,rapss_ano,21,,,,,
Motif de la non facturation à l'assurance maladie,1,165,165,c,MOTNOFACT,had,rapss_ano,21,,,,,
Facturation du Ticket modérateur forfaitaire,1,166,166,c,FACT18E,had,rapss_ano,21,,,,,
Nombre de venues de la facture,4,167,170,i,NBEVEN,had,rapss_ano,21,,,,,
Montant à facturer au titre du ticket modérateur,10,171,180,n,MTFACTMO,had,rapss_ano,21,,,,,
Montant à facturer au titre du forfait journalier ,10,181,190,n,MTFORJOU,had,rapss_ano,21,,,,,
Montant total du séjour remboursé par l’assurance maladie (i.e. hors prestations annexes),10,191,200,n,MTFACTOT,had,rapss_ano,21,,,,,
Montant lié à la majoration au parcours de soins,4,201,204,n,MTMALPAR,had,rapss_ano,21,,,,,
Montant base remboursement,10,205,214,n,MTBASERM,had,rapss_ano,21,,,,,
Taux de remboursement,5,215,219,n,TAUXRM,had,rapss_ano,21,,,,,
Patient bénéficiaire de la CMU,1,220,220,c,PATCMU,had,rapss_ano,21,,,,,
Filler,66,221,286,c,Filler2,had,rapss_ano,21,,,,,
Identifiant anonyme d'hospitalisation,8,287,294,c,DTHOSP,had,rapss_ano,21,,,,,
Montant total du séjour remboursable pour l'AMC,10,295,304,n,MTRMBAMC,had,rapss_ano,21,,,,,
Code participation assuré,1,305,305,c,PARTASS,had,rapss_ano,21,,,,,
Identifiant de première hospitalisation,5,306,310,c,IDHOSPI1,had,rapss_ano,21,,,,,
CR Identifiant de premirère hospitalisation,1,311,311,c,CRIDHOSPI1,had,rapss_ano,21,,,,,
Filler,3,312,314,c,Filler3,had,rapss_ano,21,,,,,
Rang de naissance,1,315,315,c,RGNAISS,had,rapss_ano,21,,,,,
Rang du bénéficiaire,3,316,318,c,RGBEN,had,rapss_ano,21,,,,,
N° caisse gestionnaire,3,319,321,c,CAISSGEST,had,rapss_ano,21,,,,,
N° centre gestionnaire,4,322,325,c,CENTRGEST,had,rapss_ano,21,,,,,
Confirmation de la prise en charge dans le cadre du dispositif des soins urgents,1,326,326,c,PECSU,had,rapss_ano,21,,,,,
Numéro accident du travail ou date d’accident de droit commun,9,327,335,c,NUMAT,had,rapss_ano,21,,,,,
N° d’organisme complémentaire,10,336,345,c,NUMCOMP,had,rapss_ano,21,,,,,
Nature de la pièce justificative des droits,1,346,346,c,NATJUSTDROITS,had,rapss_ano,21,,,,,
Prise en charge établie le,8,347,354,c,DATETABLPEC,had,rapss_ano,21,,,,,
"Attestation de droits, carte Vitale ou prise en charge valable à compter du.",8,355,362,c,DATCARTVITALE,had,rapss_ano,21,,,,,
Délivrée par,3,363,365,c,DELIVR,had,rapss_ano,21,,,,,
Régime de prestation de l’assuré,3,366,368,c,REGPRESTASS,had,rapss_ano,21,,,,,
Top éclatement des flux par l’établissement,1,369,369,c,ECLATFLUX,had,rapss_ano,21,,,,,
Date d’entrée,8,370,377,c,DTENT3,had,rapss_ano,21,,,,,
Date de sortie,8,378,385,c,DTSORT3,had,rapss_ano,21,,,,,
Montant total du séjour facturé au patient,8,386,393,c,MTTFACPAT,had,rapss_ano,21,,,,,
Rejet AMO,1,394,394,c,REJETAMO,had,rapss_ano,21,,,,,
Date de facturation AMO,8,395,402,c,DATFACTAMO,had,rapss_ano,21,,,,,
Date de facturation AMC,8,403,410,c,DATFACTAMC,had,rapss_ano,21,,,,,
Date de facturation patient,8,411,418,c,DATFACTPAT,had,rapss_ano,21,,,,,
Date de paiement AMO,8,419,426,c,DATPAIAMO,had,rapss_ano,21,,,,,
Date de paiement AMC,8,427,434,c,DATPAIAMC,had,rapss_ano,21,,,,,
Date de paiement patient,8,435,442,c,DATPAIPAT,had,rapss_ano,21,,,,,
Statut FT AMO,1,443,443,c,STATFTAMO,had,rapss_ano,21,,,,,
Statut FT AMC,1,444,444,c,STATFTAMC,had,rapss_ano,21,,,,,
Statut FT patient,1,445,445,c,STATFTPAT,had,rapss_ano,21,,,,,
